club_name,reference,number_of_footballers,total_value
Manchester City,/manchester-city/startseite/verein/281/saison_id/2020,24,1030000000.00
Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2020,29,1010000000.00
Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2020,25,779800000.00
Manchester United,/manchester-united/startseite/verein/985/saison_id/2020,30,720950000.00
Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2020,26,680800000.00
Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2020,26,549100000.00
Leicester City,/leicester-city/startseite/verein/1003/saison_id/2020,25,475900000.00
Everton FC,/fc-everton/startseite/verein/29/saison_id/2020,23,462500000.00
Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2020,24,412100000.00
Aston Villa,/aston-villa/startseite/verein/405/saison_id/2020,24,379700000.00
West Ham United,/west-ham-united/startseite/verein/379/saison_id/2020,23,279750000.00
Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2020,28,252700000.00
Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2020,24,250500000.00
Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2020,28,248600000.00
Fulham FC,/fc-fulham/startseite/verein/931/saison_id/2020,26,223100000.00
Leeds United,/leeds-united/startseite/verein/399/saison_id/2020,27,214650000.00
Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2020,28,203300000.00
Sheffield United,/sheffield-united/startseite/verein/350/saison_id/2020,26,152800000.00
Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2020,23,130250000.00
West Bromwich Albion,/west-bromwich-albion/startseite/verein/984/saison_id/2020,27,123750000.00
