club_name,reference,number_of_footballers,total_value
Manchester City,/manchester-city/startseite/verein/281/saison_id/2019,34,1270000000.00
Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2019,56,1090000000.00
Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2019,36,1040000000.00
Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2019,36,797000000.00
Manchester United,/manchester-united/startseite/verein/985/saison_id/2019,43,775200000.00
Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2019,38,680550000.00
Everton FC,/fc-everton/startseite/verein/29/saison_id/2019,35,525500000.00
Leicester City,/leicester-city/startseite/verein/1003/saison_id/2019,32,384750000.00
West Ham United,/west-ham-united/startseite/verein/379/saison_id/2019,38,371750000.00
Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2019,44,315400000.00
Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2019,41,312580000.00
AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2019,39,311200000.00
Watford FC,/fc-watford/startseite/verein/1010/saison_id/2019,43,270650000.00
Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2019,36,259800000.00
Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2019,33,248650000.00
Brighton &amp; Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2019,45,225830000.00
Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2019,35,205580000.00
Aston Villa,/aston-villa/startseite/verein/405/saison_id/2019,38,184600000.00
Norwich City,/norwich-city/startseite/verein/1123/saison_id/2019,38,110850000.00
Sheffield United,/sheffield-united/startseite/verein/350/saison_id/2019,34,110800000.00
