club_reference,href,name_and_surname,position,market_value,date_of_birth,country
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/ederson/profil/spieler/238223,Ederson,Goalkeeper,56000000.00,1993-08-17 00:00:00,Brazil
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/zack-steffen/profil/spieler/221624,Zack Steffen,Goalkeeper,6000000.00,1995-04-02 00:00:00,United States
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/scott-carson/profil/spieler/14555,Scott Carson,Goalkeeper,500000,1985-09-03 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/ruben-dias/profil/spieler/258004,Rúben Dias,Centre-Back,70000000.00,1997-05-14 00:00:00,Portugal
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/aymeric-laporte/profil/spieler/176553,Aymeric Laporte,Centre-Back,50000000.00,1994-05-27 00:00:00,France
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/nathan-ake/profil/spieler/177476,Nathan Aké,Centre-Back,35000000.00,1995-02-18 00:00:00,Netherlands
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/john-stones/profil/spieler/186590,John Stones,Centre-Back,30000000.00,1994-05-28 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/eric-garcia/profil/spieler/466794,Eric García,Centre-Back,20000000.00,2001-01-09 00:00:00,Spain
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/philippe-sandler/profil/spieler/340460,Philippe Sandler,Centre-Back,3000000.00,1997-02-10 00:00:00,Netherlands
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/benjamin-mendy/profil/spieler/157495,Benjamin Mendy,Left-Back,22000000.00,1994-07-17 00:00:00,France
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/oleksandr-zinchenko/profil/spieler/203853,Oleksandr Zinchenko,Left-Back,20000000.00,1996-12-15 00:00:00,Ukraine
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/joao-cancelo/profil/spieler/182712,João Cancelo,Right-Back,50000000.00,1994-05-27 00:00:00,Portugal
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/kyle-walker/profil/spieler/95424,Kyle Walker,Right-Back,35000000.00,1990-05-28 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/rodri/profil/spieler/357565,Rodri,Defensive Midfield,70000000.00,1996-06-22 00:00:00,Spain
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/fernandinho/profil/spieler/26267,Fernandinho,Defensive Midfield,2500000.00,1985-05-04 00:00:00,Brazil
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/phil-foden/profil/spieler/406635,Phil Foden,Central Midfield,70000000.00,2000-05-28 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/ilkay-gundogan/profil/spieler/53622,Ilkay Gündogan,Central Midfield,40000000.00,1990-10-24 00:00:00,Germany
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/kevin-de-bruyne/profil/spieler/88755,Kevin De Bruyne,Attacking Midfield,100000000.00,1991-06-28 00:00:00,Belgium
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/bernardo-silva/profil/spieler/241641,Bernardo Silva,Attacking Midfield,70000000.00,1994-08-10 00:00:00,Portugal
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/raheem-sterling/profil/spieler/134425,Raheem Sterling,Left Winger,100000000.00,1994-12-08 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/ferran-torres/profil/spieler/398184,Ferran Torres,Right Winger,50000000.00,2000-02-29 00:00:00,Spain
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/riyad-mahrez/profil/spieler/171424,Riyad Mahrez,Right Winger,42000000.00,1991-02-21 00:00:00,Algeria
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/gabriel-jesus/profil/spieler/363205,Gabriel Jesus,Centre-Forward,60000000.00,1997-04-03 00:00:00,Brazil
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/sergio-aguero/profil/spieler/26399,Sergio Agüero,Centre-Forward,25000000.00,1988-06-02 00:00:00,Argentina
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/alisson/profil/spieler/105470,Alisson,Goalkeeper,65000000.00,1992-10-02 00:00:00,Brazil
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/caoimhin-kelleher/profil/spieler/340918,Caoimhin Kelleher,Goalkeeper,2500000.00,1998-11-23 00:00:00,Ireland
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/adrian/profil/spieler/71271,Adrián,Goalkeeper,1500000.00,1987-01-03 00:00:00,Spain
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/virgil-van-dijk/profil/spieler/139208,Virgil van Dijk,Centre-Back,70000000.00,1991-07-08 00:00:00,Netherlands
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/joe-gomez/profil/spieler/256178,Joe Gomez,Centre-Back,35000000.00,1997-05-23 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/ozan-kabak/profil/spieler/361260,Ozan Kabak,Centre-Back,25000000.00,2000-03-25 00:00:00,Turkey
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/joel-matip/profil/spieler/82105,Joel Matip,Centre-Back,25000000.00,1991-08-08 00:00:00,Cameroon
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/rhys-williams/profil/spieler/503679,Rhys Williams,Centre-Back,5000000.00,2001-02-03 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/nathaniel-phillips/profil/spieler/371814,Nathaniel Phillips,Centre-Back,5000000.00,1997-03-21 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/ben-davies/profil/spieler/257097,Ben Davies,Centre-Back,3000000.00,1995-08-11 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/andrew-robertson/profil/spieler/234803,Andrew Robertson,Left-Back,70000000.00,1994-03-11 00:00:00,Scotland
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/konstantinos-tsimikas/profil/spieler/338070,Konstantinos Tsimikas,Left-Back,8000000.00,1996-05-12 00:00:00,Greece
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/trent-alexander-arnold/profil/spieler/314353,Trent Alexander-Arnold,Right-Back,100000000.00,1998-10-07 00:00:00,England
