1,1,1136,Aaron Connolly,Aaron,Connolly
2,2,453,Aaron Cresswell,Aaron,Cresswell
3,3,141,Aaron Lennon,Aaron,Lennon
4,4,772,Aaron Mooy,Aaron,Mooy
5,5,676,Aaron Ramsdale,Aaron,Ramsdale
6,6,15,Aaron Ramsey,Aaron,Ramsey
7,7,1007,Aaron Rowe,Aaron,Rowe
8,9,611,Aaron Wan-Bissaka,Aaron,Wan-Bissaka
9,10,789,Abdelhamid Sabiri,Abdelhamid,Sabiri
10,11,481,Abdoulaye Doucouré,Abdoulaye,Doucoure
11,12,79,Abdul Rahman Baba,Abdul Rahman,Baba
12,13,162,Abel Hernández,Abel,Hernandez
13,14,984,Aboubakar Kamara,Aboubakar,Kamara
14,16,1054,Adalberto Peñaranda,Adalberto,Penaranda
15,18,282,Adam Clayton,Adam,Clayton
16,19,29,Adam Federici,Adam,Federici
17,20,285,Adam Forshaw,Adam,Forshaw
18,21,1222,Adam Idah,Adam,Idah
19,24,204,Adam Lallana,Adam,Lallana
20,25,727,Adam Legzdins,Adam,Legzdins
21,27,1050,Adam Masina,Adam,Masina
22,28,344,Adam Matthews,Adam,Matthews
23,30,284,Adam Reach,Adam,Reach
24,31,33,Adam Smith,Adam,Smith
25,32,1134,Adam Webster,Adam,Webster
26,33,1001,Adama Diakhaby,Adama,Diakhaby
27,34,163,Adama Diomande,Adama,Diomande
28,35,562,Adama Traoré,Adama,Traore
29,36,626,Ademola Lookman,Ademola,Lookman
30,37,414,Adlène Guédioura,Adlene,Guedioura
31,38,260,Adnan Januzaj,Adnan,Januzaj
32,40,555,Adrian Mariappa,Adrian,Mariappa
33,41,1366,Adrien Silva,Adrien,Silva
34,43,1415,Adrián Bernabé,Adrian,Bernabe
35,44,157,Ahmed Elmohamady,Ahmed,Elmohamady
36,46,186,Ahmed Musa,Ahmed,Musa
37,48,530,Aiden O'Neill,Aiden,O'Neill
38,49,592,Ainsley Maitland-Niles,Ainsley,Maitland-Niles
39,50,1224,Akin Famewo,Akin,Famewo
40,52,280,Albert Adomah,Albert,Adomah
41,53,191,Alberto Moreno,Alberto,Moreno
42,55,1283,Albian Ajeti,Albian,Ajeti
43,57,794,Aleksandar Dragovic,Aleksandar,Dragovic
44,58,219,Aleksandar Kolarov,Aleksandar,Kolarov
45,59,832,Aleksandar Mitrovic,Aleksandar,Mitrovic
46,62,521,Alex Baptiste,Alex,Baptiste
47,63,153,Alex Bruce,Alex,Bruce
48,64,1141,Alex Cochrane,Alex,Cochrane
49,66,20,Alex Iwobi,Alex,Iwobi
50,67,100,Alex McCarthy,Alex,McCarthy
51,68,17,Alex Oxlade-Chamberlain,Alex,Oxlade-Chamberlain
52,69,600,Alex Palmer,Alex,Palmer
53,70,607,Alex Pike,Alex,Pike
54,71,400,Alex Pritchard,Alex,Pritchard
55,72,931,Alex Smithies,Alex,Smithies
56,75,523,Alexander Manninger,Alexander,Manninger
57,76,752,Alexander Sörloth,Alexander,Sørloth
58,77,1215,Alexander Tettey,Alexander,Tettey
59,78,1262,Alexandre Jankewitz,Alexandre,Jankewitz
60,79,684,Alexandre Lacazette,Alexandre,Lacazette
61,82,1140,Alexis Mac Allister,Alexis,Mac Allister
62,83,11,Alexis Sánchez,Alexis,Sanchez
63,84,1043,Alfie Jones,Alfie,Jones
64,85,1290,Alfie Lewis,Alfie,Lewis
65,86,557,Alfie Mawson,Alfie,Mawson
66,87,869,Alfie Whiteman,Alfie,Whiteman
67,88,643,Alfred N'Diaye,Alfred,N'Diaye
68,89,887,Ali Gabr,Ali,Gabr
69,91,921,Alireza Jahanbakhsh,Alireza,Jahanbakhsh
70,94,145,Allan McGregor,Allan,McGregor
71,96,1193,Allan Saint-Maximin,Allan,Saint-Maximin
72,97,416,Almen Abdi,Almen,Abdi
73,99,1362,Alphonse Areola,Alphonse,Areola
74,101,1428,Amad Diallo,Amad,Diallo
75,103,261,Ander Herrera,Ander,Herrera
76,104,728,Anders Lindegaard,Anders,Lindegaard
77,106,1320,Andi Zeqiri,Andi,Zeqiri
78,107,67,Andre Gray,Andre,Gray
79,108,1107,Andre Green,Andre,Green
80,110,637,Andrea Ranocchia,Andrea,Ranocchia
81,111,734,Andreas Christensen,Andreas,Christensen
82,112,262,Andreas Pereira,Andreas,Pereira
83,113,1486,Andreas Söndergaard,Andreas,Sondergaard
84,115,604,Andrew Eleftheriou,Andrew,Eleftheriou
85,116,151,Andrew Robertson,Andrew,Robertson
86,117,38,Andrew Surman,Andrew,Surman
87,118,1057,Andriy Yarmolenko,Andriy,Yarmolenko
88,119,119,Andros Townsend,Andros,Townsend
89,120,373,André Ayew,Andre,Ayew
90,121,875,André Carrillo,Andre,Carrillo
91,124,989,André Schürrle,Andre,Schurrle
92,126,467,Andy Carroll,Andy,Carroll
93,127,177,Andy King,Andy,King
94,128,1176,Andy Lonergan,Andy,Lonergan
95,129,679,Angel Gomes,Angel,Gomes
96,131,455,Angelo Ogbonna,Angelo,Ogbonna
97,132,667,Angus Gunn,Angus,Gunn
98,134,929,Anthony Driscoll-Glennon,Anthony,Driscoll-Glennon
99,137,1166,Anthony Gordon,Anthony,Gordon
100,138,704,Anthony Knockaert,Anthony,Knockaert
101,139,266,Anthony Martial,Anthony,Martial
102,141,1361,Antonee Robinson,Antonee,Robinson
103,142,476,Antonio Barragán,Antonio,Barragan
104,143,1032,Antonio Barreca,Antonio,Barreca
105,144,731,Antonio Rüdiger,Antonio,Rudiger
106,145,249,Antonio Valencia,Antonio,Valencia
107,146,1105,Anwar El Ghazi,Anwar,El Ghazi
108,148,1223,Archie Mair,Archie,Mair
109,149,1018,Arijanet Muric,Arijanet,Muric
110,150,1155,Armando Broja,Armando,Broja
111,153,944,Aron Gunnarsson,Aron,Gunnarsson
112,154,143,Arouna Koné,Arouna,Kone
113,155,504,Arthur Masuaku,Arthur,Masuaku
114,156,28,Artur Boruc,Artur,Boruc
115,157,69,Ashley Barnes,Ashley,Barnes
116,158,534,Ashley Fletcher,Ashley,Fletcher
117,159,640,Ashley Westwood,Ashley,Westwood
118,160,358,Ashley Williams,Ashley,Williams
119,161,259,Ashley Young,Ashley,Young
120,162,73,Asmir Begovic,Asmir,Begovic
121,164,655,Axel Tuanzebe,Axel,Tuanzebe
122,165,813,Aymeric Laporte,Aymeric,Laporte
123,166,831,Ayoze Pérez,Ayoze,Perez
124,167,223,Bacary Sagna,Bacary,Sagna
125,169,376,Bafétimbi Gomis,Bafetimbi,Gomis
126,170,1142,Bailey Peacock-Farrell,Bailey,Peacock-Farrell
127,171,648,Baily Cargill,Baily,Cargill
128,172,118,Bakary Sako,Bakary,Sako
129,173,496,Bartosz Kapustka,Bartosz,Kapustka
130,174,264,Bastian Schweinsteiger,Bastian,Schweinsteiger
131,178,385,Ben Davies,Ben,Davies
132,179,429,Ben Foster,Ben,Foster
