first_name,second_name,guid
David,Ospina,0
Petr,Cech,1
Laurent,Koscielny,2
Per,Mertesacker,3
Gabriel Armando,de Abreu,4
Hector,Bellerin,5
Kieran,Gibbs,6
Mathieu,Debuchy,7
Carl,Jenkinson,8
Nacho,Monreal,9
Calum,Chambers,10
Alexis,Sanchez,11
Theo,Walcott,12
Mesut,Ozil,13
Santiago,Cazorla,14
Aaron,Ramsey,15
Jack,Wilshere,16
Alex,Oxlade-Chamberlain,17
Serge,Gnabry,18
Francis,Coquelin,19
Alex,Iwobi,20
Mohamed,Elneny,21
Joel,Campbell,22
Granit,Xhaka,23
Olivier,Giroud,24
Danny,Welbeck,25
Yaya,Sanogo,26
Takuma,Asano,27
Artur,Boruc,28
Adam,Federici,29
Simon,Francis,30
Steve,Cook,31
Charlie,Daniels,32
Adam,Smith,33
Tyrone,Mings,34
Nathan,Ake,35
Harry,Arter,36
Marc,Pugh,37
Andrew,Surman,38
Eunan,O'Kane,39
Shaun,MacDonald,40
Junior,Stanislas,41
Dan,Gosling,42
Max,Gradel,43
Emerson,Hyndman,44
Jordon,Ibe,45
Lewis,Cook,46
Joshua,King,47
Callum,Wilson,48
Tokelo,Rantie,49
Lewis,Grabban,50
Benik,Afobe,51
Lys,Mousset,52
Tom,Heaton,53
Matthew,Lowton,54
Ben,Mee,55
Stephen,Ward,56
Michael,Keane,57
James,Tarkowski,58
Tendayi,Darikwa,59
David,Jones,60
George,Boyd,61
Scott,Arfield,62
Dean,Marney,63
Fredrik,Ulvestad,64
Michael,Kightly,65
Sam,Vokes,66
Andre,Gray,67
Lukas,Jutkiewicz,68
Ashley,Barnes,69
Rouwen,Hennings,70
Chris,Long,71
Thibaut,Courtois,72
Asmir,Begovic,73
John,Terry,74
Branislav,Ivanovic,75
Cesar,Azpilicueta,76
Gary,Cahill,77
Kurt,Zouma,78
Abdul Rahman,Baba,79
Matt,Miazga,80
Eden,Hazard,81
Cesc,Fabregas,82
Oscar,dos Santos Emboaba Junior,83
Juan,Cuadrado,84
Willian,Borges Da Silva,85
Nemanja,Matic,86
Ruben,Loftus-Cheek,87
John Obi,Mikel,88
Pedro,Rodriguez Ledesma,89
Bertrand,Traore,90
Victor,Moses,91
Marco,Van Ginkel,92
Robert Kenedy,Nunes do Nascimento,93
N'Golo,Kante,94
Michy,Batshuayi,95
Diego,Da Silva Costa,96
Loic,Remy,97
Julian,Speroni,98
Wayne,Hennessey,99
Alex,McCarthy,100
Steve,Mandanda,101
James,Tomkins,102
Scott,Dann,103
Joel,Ward,104
Martin,Kelly,105
Damien,Delaney,106
Pape,Souare,107
Yannick,Bolasie,108
Jason,Puncheon,109
Wilfried,Zaha,110
Mile,Jedinak,111
Joe,Ledley,112
James,McArthur,113
Jordon,Mutch,114
Jonathan,Williams,115
Chung-yong,Lee,116
Yohan,Cabaye,117
Bakary,Sako,118
Andros,Townsend,119
Fraizer,Campbell,120
