,club_reference,href,name_and_surname,position,market_value,date_of_birth,country
0,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/thibaut-courtois/profil/spieler/108390,Thibaut Courtois,Goalkeeper,€35.00m ,"May 11, 1992 (23)",Belgium
1,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/asmir-begovic/profil/spieler/33873,Asmir Begovic,Goalkeeper,€12.00m ,"Jun 20, 1987 (28)",Bosnia-Herzegovina
2,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/jamal-blackman/profil/spieler/128898,Jamal Blackman,Goalkeeper,€250Th. ,"Oct 27, 1993 (21)",England
3,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/marco-amelia/profil/spieler/16810,Marco Amelia,Goalkeeper,€250Th. ,"Apr 2, 1982 (33)",Italy
4,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/kurt-zouma/profil/spieler/157509,Kurt Zouma,Centre-Back,€17.00m ,"Oct 27, 1994 (20)",France
5,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/gary-cahill/profil/spieler/27511,Gary Cahill,Centre-Back,€16.00m ,"Dec 19, 1985 (29)",England
6,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/branislav-ivanovic/profil/spieler/36827,Branislav Ivanovic,Centre-Back,€11.00m ,"Feb 22, 1984 (31)",Serbia
7,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/nathan-ake/profil/spieler/177476,Nathan Aké,Centre-Back,€4.50m ,"Feb 18, 1995 (20)",Netherlands
8,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/papy-djilobodji/profil/spieler/136610,Papy Djilobodji,Centre-Back,€3.50m ,"Dec 1, 1988 (26)",Senegal
9,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/tomas-kalas/profil/spieler/148657,Tomas Kalas,Centre-Back,€3.00m ,"May 15, 1993 (22)",Czech Republic
10,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/michael-hector/profil/spieler/157490,Michael Hector,Centre-Back,€3.00m ,"Jul 19, 1992 (22)",Jamaica
11,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/john-terry/profil/spieler/3160,John Terry,Centre-Back,€3.00m ,"Dec 7, 1980 (34)",England
12,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/matt-miazga/profil/spieler/245893,Matt Miazga,Centre-Back,€2.50m ,"Jul 19, 1995 (19)",United States
