20,https://www.transfermarkt.com/alessandro-diamanti/profil/spieler/23197,0,UC AlbinoLeffe,"Oct 4, 2004"
72,https://www.transfermarkt.com/alex-bruce/profil/spieler/37957,0,Retired,"Nov 23, 2020"
232,https://www.transfermarkt.com/brian-lenihan/profil/spieler/241916,0,Retired,"Apr 18, 2018"
909,https://www.transfermarkt.com/kelvin-davis/profil/spieler/13640,0,Retired,"Jul 1, 2016"
1019,https://www.transfermarkt.com/marc-navarro/profil/spieler/335245,0,RCD Espanyol B,"Feb 8, 2016"
1204,https://www.transfermarkt.com/mikel-arteta/profil/spieler/7451,0,Retired,"Jul 1, 2016"
1289,https://www.transfermarkt.com/omar-elabdellaoui/profil/spieler/121404,0,Manchester City Reserves,"Jan 5, 2012"
1311,https://www.transfermarkt.com/pablo-zabaleta/profil/spieler/20007,0,Club Atl E9tico San Lorenzo de Almagro,"Oct 4, 2004"
1343,https://www.transfermarkt.com/pablo-zabaleta/profil/spieler/20007,0,Retired,"Oct 16, 2020"
1493,https://www.transfermarkt.com/russell-martin/profil/spieler/67303,0,Retired,"Nov 6, 2019"
1712,https://www.transfermarkt.com/stephen-ireland/profil/spieler/34838,0,Retired,"Dec 20, 2018"
1758,https://www.transfermarkt.com/steven-pienaar/profil/spieler/4321,0,Retired,"Feb 28, 2018"
1879,https://www.transfermarkt.com/toni-martinez/profil/spieler/302371,0,Valencia CF U19,"Jul 12, 2014"
1932,https://www.transfermarkt.com/victor-valdes/profil/spieler/7589,0,Retired,"Aug 17, 2017"
1993,https://www.transfermarkt.com/yaya-toure/profil/spieler/13091,0,Retired,"Jan 1, 2020"
2000,https://www.transfermarkt.com/youssouf-mulumbu/profil/spieler/45272,0,West Bromwich Albion,"Dec 9, 2009"
2,https://www.transfermarkt.com/akin-famewo/profil/spieler/425713,25000,Luton Town,"Aug 5, 2016"
3,https://www.transfermarkt.com/akin-famewo/profil/spieler/425713,25000,St. Mirren FC,"Feb 5, 2020"
4,https://www.transfermarkt.com/ales-mateju/profil/spieler/242078,25000,PSV Eindhoven U19,"Mar 28, 2014"
641,https://www.transfermarkt.com/jakob-haugaard/profil/spieler/138335,25000,Akademisk Boldklub,"Jan 1, 2011"
227,https://www.transfermarkt.com/brian-lenihan/profil/spieler/241916,50000,Hull City,"Sep 24, 2015"
301,https://www.transfermarkt.com/conor-hourihane/profil/spieler/61653,50000,Unknown,"Aug 24, 2008"
463,https://www.transfermarkt.com/erik-palmer-brown/profil/spieler/282199,50000,FC Porto B,"Mar 14, 2016"
508,https://www.transfermarkt.com/florent-hadergjonaj/profil/spieler/238809,50000,BSC Young Boys U21,"Nov 26, 2013"
558,https://www.transfermarkt.com/fredrik-ulvestad/profil/spieler/158022,50000,Unknown,"Dec 3, 2010"
580,https://www.transfermarkt.com/glenn-whelan/profil/spieler/12124,50000,Sheffield Wednesday,"Oct 4, 2004"
746,https://www.transfermarkt.com/jonas-lossl/profil/spieler/48870,50000,FC Midtjylland U19,"Mar 17, 2008"
813,https://www.transfermarkt.com/josh-robson/profil/spieler/357958,50000,Notodden FK,"Dec 30, 2018"
814,https://www.transfermarkt.com/josh-robson/profil/spieler/357958,50000,Notodden FK,"Dec 29, 2019"
816,https://www.transfermarkt.com/josip-drmic/profil/spieler/140579,50000,FC Z FCrich U21,"Feb 9, 2010"
892,https://www.transfermarkt.com/kelvin-davis/profil/spieler/13640,50000,Ipswich Town,"Oct 4, 2004"
916,https://www.transfermarkt.com/leandro-bacuna/profil/spieler/126014,50000,FC Groningen,"Sep 1, 2009"
940,https://www.transfermarkt.com/leon-clarke/profil/spieler/36859,50000,Wolverhampton Wanderers,"Dec 16, 2005"
1077,https://www.transfermarkt.com/martin-olsson/profil/spieler/38073,50000,Blackburn Rovers U18,"Feb 15, 2006"
1288,https://www.transfermarkt.com/omar-elabdellaoui/profil/spieler/121404,50000,Str F8msgodset IF,"Dec 29, 2011"
1477,https://www.transfermarkt.com/russell-martin/profil/spieler/67303,50000,Peterborough United,"Jul 2, 2009"
1494,https://www.transfermarkt.com/ryan-babel/profil/spieler/16135,50000,Ajax Amsterdam,"Oct 4, 2004"
1588,https://www.transfermarkt.com/scott-malone/profil/spieler/101682,50000, DAjpest FC,"Feb 27, 2009"
1684,https://www.transfermarkt.com/stephen-ireland/profil/spieler/34838,50000,Manchester City,"Sep 26, 2005"
1795,https://www.transfermarkt.com/stuart-okeefe/profil/spieler/93626,50000,Southend United,"Apr 7, 2010"
1891,https://www.transfermarkt.com/tony-andreu/profil/spieler/87789,50000,FC Stade Nyonnais,"Jul 8, 2009"
1935,https://www.transfermarkt.com/wesley-hoedt/profil/spieler/253765,50000,AZ Alkmaar U21,"Jul 5, 2013"
53,https://www.transfermarkt.com/alex-bruce/profil/spieler/37957,75000,Birmingham City,"Feb 15, 2006"
234,https://www.transfermarkt.com/brown-ideye/profil/spieler/64308,75000,Neuch E2tel Xamax,"Jan 31, 2008"
