,player_reference,value,club,date
0,https://www.transfermarkt.com/hannibal-mejbri/profil/spieler/607224,-1,,
1,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,200000,St. Mirren FC,"Feb 14, 2013"
2,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,300000,St. Mirren FC,"Oct 8, 2013"
3,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,400000,St. Mirren FC,"Feb 13, 2014"
4,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,450000,St. Mirren FC,"Oct 7, 2014"
5,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,500000,Hibernian FC,"Nov 16, 2015"
6,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,550000,Hibernian FC,"Nov 16, 2016"
7,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,1250000,Hibernian FC,"Mar 4, 2018"
8,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,1750000,Aston Villa,"Aug 8, 2018"
9,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,3000000,Aston Villa,"Sep 24, 2018"
10,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,3500000,Aston Villa,"Feb 27, 2019"
11,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,6500000,Aston Villa,"Jun 28, 2019"
12,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,20000000,Aston Villa,"Dec 10, 2019"
13,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,16000000,Aston Villa,"Apr 8, 2020"
14,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,16000000,Aston Villa,"Oct 13, 2020"
15,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,20000000,Aston Villa,"Dec 17, 2020"
16,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,28000000,Aston Villa,"Mar 18, 2021"
17,https://www.transfermarkt.com/dwight-gayle/profil/spieler/196522,100000,Peterborough United,"Dec 10, 2012"
18,https://www.transfermarkt.com/dwight-gayle/profil/spieler/196522,500000,Peterborough United,"Dec 24, 2012"
19,https://www.transfermarkt.com/dwight-gayle/profil/spieler/196522,750000,Peterborough United,"Mar 2, 2013"
20,https://www.transfermarkt.com/dwight-gayle/profil/spieler/196522,5000000,Crystal Palace,"Jul 11, 2013"
21,https://www.transfermarkt.com/dwight-gayle/profil/spieler/196522,4000000,Crystal Palace,"Jan 15, 2014"
22,https://www.transfermarkt.com/dwight-gayle/profil/spieler/196522,3000000,Crystal Palace,"Aug 12, 2014"
23,https://www.transfermarkt.com/dwight-gayle/profil/spieler/196522,4000000,Crystal Palace,"Feb 12, 2015"
24,https://www.transfermarkt.com/dwight-gayle/profil/spieler/196522,4000000,Crystal Palace,"Jul 1, 2015"
25,https://www.transfermarkt.com/dwight-gayle/profil/spieler/196522,3000000,Crystal Palace,"Feb 9, 2016"
26,https://www.transfermarkt.com/dwight-gayle/profil/spieler/196522,6000000,Newcastle United,"Sep 1, 2016"
27,https://www.transfermarkt.com/dwight-gayle/profil/spieler/196522,10000000,Newcastle United,"Feb 27, 2017"
28,https://www.transfermarkt.com/dwight-gayle/profil/spieler/196522,10000000,Newcastle United,"Jun 28, 2017"
