club_name,reference,number_of_footballers,total_value
Manchester City,/manchester-city/startseite/verein/281/saison_id/2016,44,621400000.00
Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2016,49,603300000.00
Manchester United,/manchester-united/startseite/verein/985/saison_id/2016,42,533250000.00
Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2016,42,522750000.00
Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2016,38,394150000.00
Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2016,38,385500000.00
Everton FC,/fc-everton/startseite/verein/29/saison_id/2016,39,284350000.00
West Ham United,/west-ham-united/startseite/verein/379/saison_id/2016,44,240780000.00
Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2016,45,215700000.00
Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2016,36,214250000.00
Stoke City,/stoke-city/startseite/verein/512/saison_id/2016,34,193250000.00
Watford FC,/fc-watford/startseite/verein/1010/saison_id/2016,46,189350000.00
Leicester City,/leicester-city/startseite/verein/1003/saison_id/2016,31,175000000.00
Swansea City,/swansea-city/startseite/verein/2288/saison_id/2016,37,137100000.00
Hull City,/hull-city/startseite/verein/3008/saison_id/2016,42,132950000.00
Middlesbrough FC,/fc-middlesbrough/startseite/verein/641/saison_id/2016,35,121750000.00
West Bromwich Albion,/west-bromwich-albion/startseite/verein/984/saison_id/2016,30,115100000.00
Sunderland AFC,/afc-sunderland/startseite/verein/289/saison_id/2016,42,112500000.00
AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2016,41,103500000.00
Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2016,36,81800000.00
