club_reference,href,name_and_surname,position,market_value,date_of_birth,country
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/ederson/profil/spieler/238223,Ederson,Goalkeeper,56000000.00,1993-08-17 00:00:00,Brazil
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/arijanet-muric/profil/spieler/371021,Arijanet Muric,Goalkeeper,1800000.00,1998-11-07 00:00:00,Kosovo
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/claudio-bravo/profil/spieler/40423,Claudio Bravo,Goalkeeper,1200000.00,1983-04-13 00:00:00,Chile
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/scott-carson/profil/spieler/14555,Scott Carson,Goalkeeper,800000,1985-09-03 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/aymeric-laporte/profil/spieler/176553,Aymeric Laporte,Centre-Back,60000000.00,1994-05-27 00:00:00,France
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/john-stones/profil/spieler/186590,John Stones,Centre-Back,36000000.00,1994-05-28 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/nicolas-otamendi/profil/spieler/54781,Nicolás Otamendi,Centre-Back,14500000.00,1988-02-12 00:00:00,Argentina
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/eric-garcia/profil/spieler/466794,Eric García,Centre-Back,6300000.00,2001-01-09 00:00:00,Spain
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/tosin-adarabioyo/profil/spieler/258878,Tosin Adarabioyo,Centre-Back,2800000.00,1997-09-24 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/taylor-harwood-bellis/profil/spieler/503977,Taylor Harwood-Bellis,Centre-Back,2300000.00,2002-01-30 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/benjamin-mendy/profil/spieler/157495,Benjamin Mendy,Left-Back,28000000.00,1994-07-17 00:00:00,France
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/oleksandr-zinchenko/profil/spieler/203853,Oleksandr Zinchenko,Left-Back,24000000.00,1996-12-15 00:00:00,Ukraine
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/adrian-bernabe/profil/spieler/466802,Adrián Bernabé,Left-Back,2300000.00,2001-05-26 00:00:00,Spain
